断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况,数据时间
汤溇,2023/6/15 0:00,Ⅱ,30.3,8.28,6.44,492.7,34.1,2.37,0.036,0.046,0.7,*,*,正常,2023_06_15_05h29m
小梅口,2023/6/15 4:00,Ⅱ,28.4,8.35,7.25,471.9,25,2.68,0.025,0.043,0.61,*,*,正常,2023_06_15_05h29m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_15_09h30m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_15_09h30m
锡东水厂,2023/6/15 4:00,Ⅳ,27.1,7.96,4.9,407.6,66.4,3.1,0.026,0.078,0.87,0.013,7408870,正常,2023_06_15_09h30m
兰山嘴,2023/6/15 8:00,Ⅳ,25.4,8.21,8.21,476.9,44.6,2.97,0.025,0.068,1.08,0.023,21717300,正常,2023_06_15_09h30m
拖山,2023/6/15 8:00,Ⅳ,27.1,8.31,7.78,540.9,28.4,3.67,0.025,0.064,0.83,0.026,23484870,正常,2023_06_15_09h30m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_15_09h30m
汤溇,2023/6/15 4:00,Ⅱ,29.7,8.23,6.25,491,26.4,2.41,0.034,0.04,0.67,*,*,正常,2023_06_15_09h30m
小梅口,2023/6/15 8:00,Ⅱ,27.5,8.03,6.38,466.3,32.2,2.35,0.025,0.049,0.49,*,*,正常,2023_06_15_09h30m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_15_10h47m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_15_10h47m
锡东水厂,2023/6/15 8:00,Ⅳ,27.3,8.1,5.18,409.1,69.3,3.1,0.025,0.08,0.78,0.014,7662720,正常,2023_06_15_10h47m
兰山嘴,2023/6/15 8:00,Ⅳ,25.4,8.21,8.21,476.9,44.6,2.97,0.025,0.068,1.08,0.023,21717300,正常,2023_06_15_10h47m
拖山,2023/6/15 8:00,Ⅳ,27.1,8.31,7.78,540.9,28.4,3.67,0.025,0.064,0.83,0.026,23484870,正常,2023_06_15_10h47m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_15_10h47m
汤溇,2023/6/15 8:00,Ⅲ,29.3,8.11,5.79,492.9,29.7,2.69,0.04,0.04,0.71,*,*,正常,2023_06_15_10h47m
小梅口,2023/6/15 8:00,Ⅲ,27.5,7.92,5.62,466,29.3,2.71,0.026,0.047,0.58,*,*,正常,2023_06_15_10h47m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_16_14h18m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_16_14h18m
锡东水厂,2023/6/16 8:00,Ⅳ,27.3,8.05,5.37,409.8,63.5,2.95,0.025,0.075,0.74,0.014,6992400,正常,2023_06_16_14h18m
兰山嘴,2023/6/16 12:00,Ⅳ,25.3,7.85,7.02,476.2,87.2,2.44,0.025,0.063,0.82,0.015,19743580,正常,2023_06_16_14h18m
拖山,2023/6/16 12:00,Ⅳ,28,8.65,9.65,533.2,34.6,3.85,0.025,0.071,1.2,0.031,24974540,正常,2023_06_16_14h18m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_16_14h18m
汤溇,2023/6/16 8:00,Ⅱ,28.8,8.07,6.3,496.1,35.7,2.59,0.04,0.036,0.68,*,*,正常,2023_06_16_14h18m
小梅口,2023/6/16 12:00,Ⅲ,27.5,7.78,5.67,469.7,35.2,2.28,0.031,0.05,0.59,*,*,正常,2023_06_16_14h18m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_16_16h37m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_16_16h37m
锡东水厂,2023/6/16 12:00,Ⅳ,27.7,8.14,5.66,418.2,63.7,3.19,0.025,0.078,0.78,0.016,6968760,正常,2023_06_16_16h37m
兰山嘴,2023/6/16 16:00,Ⅳ,25.2,7.82,7.15,477.9,95.8,2.44,0.025,0.063,0.82,0.014,20631750,正常,2023_06_16_16h37m
拖山,2023/6/16 16:00,Ⅳ,27.6,8.61,9.21,535.1,38.2,3.85,0.025,0.071,1.2,0.032,25365420,正常,2023_06_16_16h37m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_16_16h37m
汤溇,2023/6/16 12:00,Ⅱ,29.3,7.93,6.04,495.2,38.5,2.33,0.044,0.041,0.69,*,*,正常,2023_06_16_16h37m
小梅口,2023/6/16 16:00,Ⅱ,27.7,7.91,6.2,469.7,32.3,2.35,0.241,0.046,0.6,*,*,正常,2023_06_16_16h37m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_16_20h37m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_16_20h37m
锡东水厂,2023/6/16 16:00,Ⅳ,27.8,8.26,5.65,422.3,65.5,3.23,0.025,0.078,0.82,0.018,6384640,正常,2023_06_16_20h37m
兰山嘴,2023/6/16 20:00,Ⅳ,24.8,7.87,7.51,477,115.8,2.45,0.025,0.062,0.83,0.015,21223870,正常,2023_06_16_20h37m
拖山,2023/6/16 20:00,Ⅳ,27.2,8.58,8.79,535.4,49.3,4.17,0.025,0.073,1.22,0.033,25411910,正常,2023_06_16_20h37m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_16_20h37m
汤溇,2023/6/16 16:00,Ⅲ,29,7.83,5.79,496.5,36.7,2.49,0.053,0.04,0.68,*,*,正常,2023_06_16_20h37m
小梅口,2023/6/16 20:00,Ⅲ,27.4,7.82,5.82,469.4,33.3,2.25,0.032,0.043,0.58,*,*,正常,2023_06_16_20h37m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_17_00h38m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_17_00h38m
锡东水厂,2023/6/16 20:00,Ⅳ,27.6,8.37,5.98,426.3,75.4,3.37,0.025,0.08,0.87,0.019,6475580,正常,2023_06_17_00h38m
兰山嘴,2023/6/17 0:00,Ⅳ,24.3,7.8,7.28,476.6,140.7,2.98,0.025,0.095,0.92,0.017,23197590,正常,2023_06_17_00h38m
拖山,2023/6/17 0:00,Ⅳ,26.7,8.29,7.63,535.1,79.6,4.34,0.025,0.076,1.36,0.028,23761380,正常,2023_06_17_00h38m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_17_00h38m
汤溇,2023/6/16 20:00,Ⅳ,28.6,7.65,4.98,495.2,37.6,2.2,0.081,0.04,0.7,*,*,正常,2023_06_17_00h38m
小梅口,2023/6/17 0:00,Ⅲ,27.2,7.71,5.35,468.8,30.6,2.51,0.043,0.046,0.72,*,*,正常,2023_06_17_00h38m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_09h03m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_19_09h03m
锡东水厂,2023/6/19 4:00,Ⅳ,25.2,7.96,6.03,404.2,59.6,3.05,0.043,0.074,0.86,0.013,7424850,正常,2023_06_19_09h03m
兰山嘴,2023/6/19 8:00,Ⅳ,22.6,7.62,7.13,467.5,142.7,1.99,0.082,0.055,1.2,0.007,15796130,正常,2023_06_19_09h03m
拖山,2023/6/19 8:00,Ⅳ,25,7.76,6.48,504.8,43.9,3.53,0.12,0.078,1.4,0.018,17550930,正常,2023_06_19_09h03m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_09h03m
汤溇,2023/6/19 4:00,Ⅱ,25.9,7.61,6.03,478.1,46.4,1.98,0.093,0.043,0.77,*,*,正常,2023_06_19_09h03m
小梅口,2023/6/19 8:00,Ⅲ,24.6,7.64,5.25,441.6,40.8,2.35,0.091,0.056,0.69,*,*,正常,2023_06_19_09h03m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_13h04m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_19_13h04m
锡东水厂,2023/6/19 8:00,Ⅳ,25.2,7.96,6.15,407.2,60.2,2.9,0.051,0.073,0.84,0.012,6973920,正常,2023_06_19_13h04m
兰山嘴,2023/6/19 12:00,Ⅳ,22.8,7.61,7.24,469.5,81.3,2.08,0.083,0.062,1.22,0.008,15105330,正常,2023_06_19_13h04m
拖山,2023/6/19 12:00,Ⅳ,25.3,7.75,6.76,506.7,39.5,3.48,0.13,0.08,1.29,0.014,16513580,正常,2023_06_19_13h04m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_13h04m
汤溇,2023/6/19 8:00,,25.9,7.6,5.91,477.6,40.3,--,0.101,0.045,0.76,*,*,维护,2023_06_19_13h04m
小梅口,2023/6/19 12:00,Ⅲ,24.6,7.66,5.05,442.4,40.5,2.49,0.088,0.058,0.7,*,*,正常,2023_06_19_13h04m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_17h05m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_19_17h05m
锡东水厂,2023/6/19 12:00,Ⅳ,25.4,8.05,6.59,403,60.2,2.95,0.041,0.071,0.84,0.013,7771370,正常,2023_06_19_17h05m
兰山嘴,2023/6/19 16:00,Ⅳ,23.1,7.66,7.39,470,72.6,2.15,0.06,0.059,1.29,0.009,15204020,正常,2023_06_19_17h05m
拖山,2023/6/19 16:00,Ⅳ,25.6,7.98,7.54,502.7,32.3,3.13,0.11,0.084,1.5,0.029,26582140,正常,2023_06_19_17h05m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_17h05m
汤溇,2023/6/19 12:00,,26.2,7.58,6.04,477.1,43.6,--,0.094,0.045,0.75,*,*,维护,2023_06_19_17h05m
小梅口,2023/6/19 16:00,Ⅲ,24.9,7.71,5.47,447.3,43,2.32,0.094,0.057,0.72,*,*,正常,2023_06_19_17h05m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_21h06m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_19_21h06m
锡东水厂,2023/6/19 16:00,Ⅳ,25.6,8.04,6.59,402.8,60.7,2.96,0.042,0.071,0.86,0.012,8198730,正常,2023_06_19_21h06m
兰山嘴,2023/6/19 20:00,Ⅳ,23.1,7.64,7.15,461.8,73.9,2.08,0.103,0.061,1.2,0.009,15302700,正常,2023_06_19_21h06m
拖山,2023/6/19 20:00,Ⅳ,25.6,7.88,7.42,495.1,34.7,3.16,0.11,0.075,0.97,0.019,16535670,正常,2023_06_19_21h06m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_19_21h06m
汤溇,2023/6/19 16:00,Ⅲ,26.6,7.38,5.18,473.6,40.8,1.84,0.155,0.057,0.87,*,*,正常,2023_06_19_21h06m
小梅口,2023/6/19 20:00,Ⅲ,25.8,7.71,5.48,454.7,48.5,2.38,0.086,0.059,0.72,*,*,正常,2023_06_19_21h06m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_20_01h06m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_20_01h06m
锡东水厂,2023/6/19 20:00,Ⅳ,25.5,8.02,6.51,393.4,62.9,3.08,0.047,0.074,0.88,0.013,7958730,正常,2023_06_20_01h06m
兰山嘴,2023/6/20 0:00,Ⅳ,23,7.66,7.05,462.9,76.2,2.04,0.081,0.059,1.21,0.007,14907960,正常,2023_06_20_01h06m
拖山,2023/6/20 0:00,Ⅳ,25.6,7.86,7.15,491.9,32.2,3.08,0.13,0.08,1.49,0.025,16422770,正常,2023_06_20_01h06m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_20_01h06m
汤溇,2023/6/19 20:00,Ⅱ,26.7,7.59,6.18,443.3,56.7,2.28,0.122,0.074,0.92,*,*,正常,2023_06_20_01h06m
小梅口,2023/6/20 0:00,Ⅲ,25.7,7.76,5.76,451.6,44.6,2.35,0.081,0.064,0.73,*,*,正常,2023_06_20_01h06m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_20_05h07m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_20_05h07m
锡东水厂,2023/6/20 0:00,Ⅳ,25.4,7.97,6.4,393,63.1,2.94,0.052,0.072,0.9,0.012,7823990,正常,2023_06_20_05h07m
兰山嘴,2023/6/20 4:00,Ⅳ,23,7.65,6.98,462,73.8,2.04,0.107,0.054,1.16,0.007,15006640,正常,2023_06_20_05h07m
拖山,2023/6/20 4:00,Ⅳ,25.5,7.79,7,489.1,30.9,3.08,0.14,0.077,1.49,0.021,14441510,正常,2023_06_20_05h07m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_20_05h07m
汤溇,2023/6/20 0:00,Ⅲ,26.6,7.42,5.64,431.4,50.5,2.54,0.201,0.104,1.22,*,*,正常,2023_06_20_05h07m
小梅口,2023/6/20 4:00,Ⅲ,25.7,7.76,5.76,451.6,44.6,2.35,0.081,0.064,0.73,*,*,正常,2023_06_20_05h07m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_20_13h08m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_20_13h08m
锡东水厂,2023/6/20 8:00,Ⅳ,25.5,8,6.42,397.8,58.6,2.78,0.059,0.074,0.86,0.01,7068150,正常,2023_06_20_13h08m
兰山嘴,2023/6/20 12:00,Ⅳ,23.8,7.78,7.74,462.7,49.4,1.96,0.07,0.051,1.13,0.009,15894820,正常,2023_06_20_13h08m
拖山,2023/6/20 12:00,Ⅳ,26.2,8.14,8.46,489.6,26.5,2.97,0.08,0.074,1.55,0.024,17432730,正常,2023_06_20_13h08m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_20_13h08m
汤溇,2023/6/20 8:00,Ⅳ,26.8,7.03,3.83,440.7,42.4,2.65,0.293,0.089,1.45,*,*,正常,2023_06_20_13h08m
小梅口,2023/6/20 12:00,Ⅳ,25.4,7.42,3.35,426.8,37.8,2.92,0.222,0.08,1.04,*,*,正常,2023_06_20_13h08m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_20_17h09m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_20_17h09m
锡东水厂,2023/6/20 12:00,Ⅳ,26.2,8.08,6.77,393,61.8,2.93,0.048,0.076,0.86,0.01,7440610,正常,2023_06_20_17h09m
兰山嘴,2023/6/20 16:00,Ⅲ,24.4,7.85,8.09,463.1,45,1.75,0.057,0.05,1.11,0.01,16289560,正常,2023_06_20_17h09m
拖山,2023/6/20 16:00,Ⅳ,27,8.47,10.09,488.4,28.3,3.19,0.03,0.076,1.57,0.036,20832770,正常,2023_06_20_17h09m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_20_17h09m
汤溇,2023/6/20 12:00,Ⅳ,27.1,7.02,3.32,456.1,42.2,2.83,0.291,0.093,1.44,*,*,正常,2023_06_20_17h09m
小梅口,2023/6/20 16:00,Ⅳ,26.3,7.42,3.4,445.1,31.8,3.15,0.221,0.088,1.11,*,*,正常,2023_06_20_17h09m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_20_21h10m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_20_21h10m
锡东水厂,2023/6/20 16:00,Ⅳ,26.8,8.24,7.22,397.2,61.1,3.03,0.028,0.075,0.84,0.016,12836160,正常,2023_06_20_21h10m
兰山嘴,2023/6/20 20:00,Ⅲ,24.2,7.8,7.8,464.1,44.2,1.82,0.073,0.05,1.18,0.012,15796130,正常,2023_06_20_21h10m
拖山,2023/6/20 20:00,Ⅳ,26.9,8.5,10.44,487.7,29.3,3.51,0.025,0.074,1.48,0.056,21096510,正常,2023_06_20_21h10m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_20_21h10m
汤溇,2023/6/20 16:00,Ⅳ,28.2,7.02,3.95,457.7,36.5,3.12,0.288,0.093,1.42,*,*,正常,2023_06_20_21h10m
小梅口,2023/6/20 20:00,Ⅳ,27,7.48,4.11,451.4,29,3.28,0.26,0.086,1.19,*,*,正常,2023_06_20_21h10m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_21_01h10m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_21_01h10m
锡东水厂,2023/6/20 20:00,Ⅳ,26.8,8.35,7.49,397,55.9,2.94,0.025,0.072,0.86,0.02,14464660,正常,2023_06_21_01h10m
兰山嘴,2023/6/21 0:00,Ⅳ,23.9,7.68,7.08,464.9,44.6,1.87,0.089,0.05,1.14,0.012,15598760,正常,2023_06_21_01h10m
拖山,2023/6/21 0:00,Ⅳ,26.7,8.32,9.21,490.3,79,3.44,0.04,0.08,1.23,0.051,20041200,正常,2023_06_21_01h10m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_21_01h10m
汤溇,2023/6/20 20:00,Ⅳ,28.2,7,3.84,448.7,29.2,3.65,0.303,0.102,1.55,*,*,正常,2023_06_21_01h10m
小梅口,2023/6/21 0:00,Ⅴ,26.8,7.31,2.24,535.3,36.7,3.57,0.578,0.109,1.91,*,*,正常,2023_06_21_01h10m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_21_05h11m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_21_05h11m
锡东水厂,2023/6/21 0:00,Ⅳ,26.7,8.2,7.02,396.6,55.6,2.9,0.025,0.072,0.83,0.017,13158550,正常,2023_06_21_05h11m
兰山嘴,2023/6/21 4:00,Ⅳ,24,7.6,6.75,478.6,43.3,1.87,0.104,0.055,1.4,0.008,15302700,正常,2023_06_21_05h11m
拖山,2023/6/21 4:00,Ⅳ,26.5,8,7.96,488.1,387.5,3.44,0.07,0.085,1.13,0.037,18854500,正常,2023_06_21_05h11m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_21_05h11m
汤溇,2023/6/21 0:00,Ⅳ,27.9,6.93,3.05,463.5,35.7,3.39,0.336,0.106,1.63,*,*,正常,2023_06_21_05h11m
小梅口,2023/6/21 4:00,Ⅴ,26.8,7.31,2.24,535.3,36.7,3.57,0.578,0.109,1.91,*,*,正常,2023_06_21_05h11m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_09h12m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_21_09h12m
锡东水厂,2023/6/21 4:00,Ⅳ,26.6,8.11,6.71,393.8,54.2,2.92,0.027,0.072,0.83,0.015,11564820,正常,2023_06_21_09h12m
兰山嘴,2023/6/21 8:00,Ⅳ,24.5,7.69,7.45,473.3,39.9,2.05,0.072,0.055,1.4,0.01,16881680,正常,2023_06_21_09h12m
拖山,2023/6/21 8:00,Ⅳ,26.6,8.38,9.29,488.7,989.2,3.4,0.025,0.085,1.13,0.051,24333370,正常,2023_06_21_09h12m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_09h12m
汤溇,2023/6/21 4:00,Ⅴ,27.7,6.91,2.7,479.4,31,3.6,0.411,0.118,1.78,*,*,正常,2023_06_21_09h12m
小梅口,2023/6/21 8:00,劣Ⅴ,26.9,7.25,1.18,428.6,42.9,3.54,0.621,0.103,2.98,*,*,正常,2023_06_21_09h12m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_13h13m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_21_13h13m
锡东水厂,2023/6/21 8:00,Ⅳ,26.7,8.01,6.25,399.7,60,2.92,0.042,0.068,0.85,0.011,8631630,正常,2023_06_21_13h13m
兰山嘴,2023/6/21 12:00,Ⅳ,26.9,8.05,9.12,468.4,36.8,2.16,0.025,0.055,1.34,0.012,19644890,正常,2023_06_21_13h13m
拖山,2023/6/21 12:00,Ⅳ,29,8.95,13.92,479.6,343.3,3.58,0.025,0.081,1.24,0.046,26353350,正常,2023_06_21_13h13m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_13h13m
汤溇,2023/6/21 8:00,Ⅴ,27.7,6.91,2.34,475.4,29.8,3.59,0.43,0.117,1.83,*,*,正常,2023_06_21_13h13m
小梅口,2023/6/21 12:00,劣Ⅴ,27,7.27,1.27,416,43.1,3.57,0.527,0.1,3.12,*,*,正常,2023_06_21_13h13m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_17h13m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_21_17h13m
锡东水厂,2023/6/21 12:00,Ⅳ,27,8.03,6.18,406.3,70.9,2.89,0.066,0.062,0.91,0.016,11270100,正常,2023_06_21_17h13m
兰山嘴,2023/6/21 16:00,Ⅲ,27.6,8.7,12.75,466.2,30.2,2.27,0.025,0.05,1.06,0.027,22889040,正常,2023_06_21_17h13m
拖山,2023/6/21 16:00,Ⅳ,28.8,8.96,13.93,410.6,921.8,4.53,0.025,0.073,1.32,0.068,29234320,正常,2023_06_21_17h13m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_17h13m
汤溇,2023/6/21 12:00,Ⅴ,28.8,6.9,2.95,471.5,29.8,3.46,0.381,0.114,1.74,*,*,正常,2023_06_21_17h13m
小梅口,2023/6/21 16:00,Ⅴ,28.3,7.33,2.77,403.8,48.6,3.53,0.25,0.091,3.03,*,*,正常,2023_06_21_17h13m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_21h14m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_21_21h14m
锡东水厂,2023/6/21 16:00,Ⅳ,28.3,8.57,7.92,401.8,59,2.94,0.025,0.061,0.82,0.021,12943550,正常,2023_06_21_21h14m
兰山嘴,2023/6/21 20:00,Ⅲ,27.4,8.86,14.25,464.2,21.5,2.96,0.025,0.044,1.16,0.029,20709130,正常,2023_06_21_21h14m
拖山,2023/6/21 20:00,Ⅳ,28.4,8.95,13.18,376.9,3363.5,4.61,0.025,0.072,1.14,0.081,28047000,正常,2023_06_21_21h14m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_21_21h14m
汤溇,2023/6/21 16:00,Ⅳ,29.9,6.96,3.98,467.5,27.6,3.65,0.34,0.108,1.7,*,*,正常,2023_06_21_21h14m
小梅口,2023/6/21 20:00,Ⅳ,28.7,7.36,3.36,384.1,45.4,3.6,0.103,0.087,2.62,*,*,正常,2023_06_21_21h14m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_22_01h15m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_22_01h15m
锡东水厂,2023/6/21 20:00,Ⅳ,28.5,8.63,8,398.3,57,3.06,0.025,0.059,0.77,0.02,11635250,正常,2023_06_22_01h15m
兰山嘴,2023/6/22 0:00,Ⅲ,25.9,8.32,10.32,468.3,22.6,2.67,0.025,0.039,1.24,0.017,19024660,正常,2023_06_22_01h15m
拖山,2023/6/22 0:00,Ⅳ,27.7,8.66,10.62,479.6,164.1,4.41,0.025,0.076,1.52,0.055,25188800,正常,2023_06_22_01h15m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_22_01h15m
汤溇,2023/6/21 20:00,Ⅳ,29.9,6.97,3.73,467.9,24.8,3.48,0.338,0.105,1.7,*,*,正常,2023_06_22_01h15m
小梅口,2023/6/22 0:00,Ⅳ,28.5,7.38,3.53,378.8,42.8,3.27,0.088,0.082,2.47,*,*,正常,2023_06_22_01h15m
沙渚,2023/5/19 8:00,Ⅱ,22,7.46,7.22,519.7,101,2.75,0.14,0.052,2.48,0.016,*,正常,2023_06_22_05h15m
陈东港,2023/5/18 12:00,Ⅲ,22.9,7.6,6.7,460.8,71.3,3.97,0.085,0.129,1.26,*,*,正常,2023_06_22_05h15m
锡东水厂,2023/6/22 0:00,Ⅳ,28.2,8.47,7.34,396.8,59.5,3.03,0.025,0.06,0.76,0.019,10400610,正常,2023_06_22_05h15m
兰山嘴,2023/6/22 4:00,Ⅲ,25.2,8.14,9.11,468,27.5,2.67,0.025,0.041,1.2,0.017,18826480,正常,2023_06_22_05h15m
拖山,2023/6/22 4:00,Ⅳ,27.3,8.46,9.14,481.8,326.4,4.41,0.025,0.081,1.66,0.058,24326440,正常,2023_06_22_05h15m
兰山嘴(老),2023/5/18 12:00,Ⅳ,24.1,7.69,6.64,227.2,180.1,4.17,0.028,0.258,3.8,0.068,*,正常,2023_06_22_05h15m
汤溇,2023/6/22 0:00,Ⅴ,29.7,6.88,2.94,469.3,18.8,3.55,0.342,0.098,1.71,*,*,正常,2023_06_22_05h15m
小梅口,2023/6/22 4:00,Ⅳ,28.5,7.38,3.53,378.8,42.8,3.27,0.088,0.082,2.47,*,*,正常,2023_06_22_05h15m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_22_09h16m
陈东港,??,,--,--,--,--,--,--,--,--,--,*,*,维护,2023_06_22_09h16m
锡东水厂,2023/6/22 4:00,Ⅳ,27.8,8.33,6.72,398.4,63.8,2.98,0.025,0.062,0.81,0.015,8825950,正常,2023_06_22_09h16m
兰山嘴,2023/6/22 8:00,Ⅳ,25.4,8.22,9.65,468.4,25.4,3.12,0.025,0.055,1.4,0.019,19321920,正常,2023_06_22_09h16m
拖山,2023/6/22 8:00,Ⅳ,27.5,8.72,10.76,478.8,603.3,3.74,0.025,0.08,1.26,0.07,28774260,正常,2023_06_22_09h16m
兰山嘴(老),??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_22_09h16m
汤溇,2023/6/22 4:00,Ⅳ,29.4,6.91,3.17,470.8,24.2,3.5,0.312,0.097,1.68,*,*,正常,2023_06_22_09h16m
小梅口,2023/6/22 8:00,Ⅴ,27.8,7.32,2.46,383.6,45.3,3.48,0.108,0.085,2.53,*,*,正常,2023_06_22_09h16m
沙渚,??,,--,--,--,--,--,--,--,--,--,--,*,维护,2023_06_22_13h17m
